object_name,bibcode,year,title
MCPS J00.805353-73.36424,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.805353-73.36424,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.804680-73.37341,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.804680-73.37341,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.818941-73.27543,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.818941-73.27543,2011AJ....142..102G,2011,"Surveying the Agents of Galaxy Evolution in the Tidally Stripped, Low Metallicity Small Magellanic Cloud (SAGE-SMC). I. Overview"
MCPS J00.818941-73.27543,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.820518-73.28554,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.820518-73.28554,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.819567-73.28382,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.819567-73.28382,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.821018-73.25211,2013ApJ...771...13L,2013,A Search for Rapidly Accreting White Dwarfs in the Small Magellanic Cloud
MCPS J00.821018-73.25211,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.821018-73.25211,2011AJ....142..102G,2011,"Surveying the Agents of Galaxy Evolution in the Tidally Stripped, Low Metallicity Small Magellanic Cloud (SAGE-SMC). I. Overview"
MCPS J00.821018-73.25211,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.819931-73.28712,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.819931-73.28712,2011AJ....142..102G,2011,"Surveying the Agents of Galaxy Evolution in the Tidally Stripped, Low Metallicity Small Magellanic Cloud (SAGE-SMC). I. Overview"
MCPS J00.819931-73.28712,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.821302-73.27415,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
MCPS J00.821302-73.27415,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
MCPS J00.821649-73.26208,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
