filename,object_name,bibcode,year,title
4001158735989,MCPS J01.148007-72.95893,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
4001158735989,MCPS J01.148007-72.95893,2011AJ....142..102G,2011,"Surveying the Agents of Galaxy Evolution in the Tidally Stripped, Low Metallicity Small Magellanic Cloud (SAGE-SMC). I. Overview"
4001158735989,MCPS J01.148007-72.95893,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
4001158736253,SSTSL2 J010838.75-725737.3,2011AJ....142..102G,2011,"Surveying the Agents of Galaxy Evolution in the Tidally Stripped, Low Metallicity Small Magellanic Cloud (SAGE-SMC). I. Overview"
4001158736253,SSTSL2 J010838.75-725737.3,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
4001158736535,MCPS J01.138678-72.96027,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
4001158736535,MCPS J01.138678-72.96027,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
4001158763963,MCPS J01.144889-72.96436,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
4001158763963,MCPS J01.144889-72.96436,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
4001158767476,MCPS J01.141034-72.95830,2002AJ....123..855Z,2002,The Magellanic Clouds Photomtric Survey: The Small Magellanic Cloud Stellar Catalog and Extinction Map
4001158767476,MCPS J01.141034-72.95830,2012SMC2..C2..0000S,2012,Spectrally-Merged Catalog of the Small Magellanic Cloud - SMC^2
4001159787004,[ZAE99] J102752.00-435402.3,1999AJ....118..752Z,1999,THE FORMATION AND EVOLUTION OF CANDIDATE YOUNG GLOBULAR CLUSTERS IN NGC 3256
4001159787744,NGC 3256E:[MCW2015] 009,2015ApJ...805...99M,2015,Ages of Star Clusters in the Tidal Tails of Merging Galaxies
4001159787747,NGC 3256E:[MCW2015] 008,2015ApJ...805...99M,2015,Ages of Star Clusters in the Tidal Tails of Merging Galaxies
4001159788060,NGC 3256E:[MCW2015] 047,2015ApJ...805...99M,2015,Ages of Star Clusters in the Tidal Tails of Merging Galaxies
4001159788275,NGC 3256E:[MCW2015] 101,2015ApJ...805...99M,2015,Ages of Star Clusters in the Tidal Tails of Merging Galaxies
4001159788723,NGC 3256E:[MCW2015] 141,2015ApJ...805...99M,2015,Ages of Star Clusters in the Tidal Tails of Merging Galaxies
4001161232770,[OMS2023] 4001004371550,2023ApJ...948...40O,2023,
4001161233113,[OMS2023] 4001004371745,2023ApJ...948...40O,2023,
